	Date	Game	Category	Estimate	Console	Region	Runner	
	2-8-2014 6:50:00	Gunman Clive	Any%	0:25:00	3DS	PAL	Greenalink	
	2-8-2014 7:15:00	Crash Team Racing	Any%	1:05:00	PS1	PAL	Joshimuz & flippy_O	
	2-8-2014 8:20:00	Ty The Tasmanian Tiger	Any%	1:20:00	GCN / XBOX		MLSTRM	
	2-8-2014 9:40:00	Goof Troop	Co-op (Hard Mode)	0:30:00	SNES	NTSC-J	Alko	
	2-8-2014 10:10:00	Chip 'N Dale: Rescue Rangers	All Zones Co-op	0:20:00	NES	NTSC	Joka and Nudua	
	2-8-2014 10:30:00	Kingdom Hearts 2 Final Mix	Any% (Critical Mode)	4:20:00	PS2		Bl00dyBizkitz	
	2-8-2014 14:50:00	Setup 		0:30:00				
	2-8-2014 15:20:00	New Super Mario Bros. 2	With Warps	0:35:00	DS		GreenaLink	
	2-8-2014 15:55:00	Super Mario Bros. 2	All Levels	0:30:00	NES		Svenne	
	2-8-2014 16:25:00	Super Mario Bros. 3	Any%	0:20:00	NES		Frezy_man	
	2-8-2014 16:45:00	DuckTales	Any% Race (Difficult)	0:15:00	NES		Dxtr vs. Nudua	Second stream ends
	2-8-2014 17:00:00	DuckTales 2	Any% Race (Difficult)	0:15:00	NES		Dxtr vs. Bangerra	
	2-8-2014 17:15:00	Contra	Any%	0:15:00	NES		Frezy_man	
	2-8-2014 17:30:00	Batman	Any% Race	0:20:00	NES		Dxtr vs. BadBrakes vs. InfestedRiche	
	2-8-2014 17:50:00	Setup 		0:30:00				
	2-8-2014 18:20:00	The Legend of Zelda: Majora's Mask	100% Co-op	6:00:00	Wii VC		GoronGuy, thiefbug, enopp, VPP	
		ENDING	100% Co-op				Everyone	
		TOTAL TIME		154:20:00				
